rank,name,series,kakera
52,Ai Hoshino,【OSHI NO KO】,605
53,Maki Zenin,Jujutsu Kaisen,729
54,Darkness,Kono Subarashii Sekai ni Shukufuku wo!,756
55,Shiro,No Game No Life,798
56,Gawr Gura,hololive,708
57,Boa Hancock,One Piece,684
58,Ai Hayasaka,Kaguya-sama wa Kokurasetai,658
59,Reze,Chainsaw Man,682
60,C.C.,Code Geass: Hangyaku no Lelouch,690
61,Tohru,Kobayashi-san Chi no Maid Dragon,692
62,Sinon,Sword Art Online,706
63,Neferpitou,Hunter × Hunter,517
64,Yuji Itadori,Jujutsu Kaisen,769
65,Raphtalia,Tate no Yuusha no Nariagari,720
66,Eren Jaeger,Attack on Titan,788
67,Kurisu Makise,Steins;Gate,662
68,Ochako Uraraka,Boku no Hero Academia,670
69,Truck-kun,🤔,552
70,Sanji,One Piece,772
71,Chiaki Nanami,Danganronpa 2: Goodbye Despair,653
72,Jinx,League of Legends,635
73,Rikka Takanashi,Chuunibyou demo Koi ga Shitai!,609
74,Nyan Cat,Internet Cats,409
75,Lucy Heartfilia,Fairy Tail,616
76,Killua Zoldyck,Hunter × Hunter,763
77,Itsuki Nakano,5-toubun no Hanayome,641
78,Misa Amane,Death Note,633
79,Tatsumaki,One Punch Man,622
80,Ryuuko Matoi,Kill la Kill,618
81,Yotsuba Nakano,5-toubun no Hanayome,570
82,Kanna Kamui,Kobayashi-san Chi no Maid Dragon,650
83,Mirko,Boku no Hero Academia,581
84,Yoruichi Shihōin,BLEACH,607
85,Jolyne Cujoh,JoJo's Bizarre Adventure: Stone Ocean,627
86,Joker,Persona 5,684
87,Venom,Marvel,452
88,Rukia Kuchiki,BLEACH,591
89,Megumi Fushiguro,Jujutsu Kaisen,667
90,Fubuki,One Punch Man,587
91,Naruto Uzumaki,Naruto,783
92,Lucy,Cyberpunk: Edgerunners,538
93,Son Goku,Dragon Ball,769
94,Nagatoro-san,"Ijiranaide, Nagatoro-san",565
95,Kyouko Hori,Hori-san to Miyamura-kun,629
96,Denji,Chainsaw Man,708
97,Crona,Soul Eater,466
98,Ken Kaneki,Tokyo Ghoul,708
99,Touka Kirishima,Tokyo Ghoul,558
100,Artoria Pendragon (Alter),Fate/stay night,462
101,Annie Leonhart,Attack on Titan,494
102,Katsuki Bakugou,Boku no Hero Academia,669
103,Osamu Dazai,Bungou Stray Dogs,664
104,Toji Fushiguro,Jujutsu Kaisen,630
105,Misato Katsuragi,Neon Genesis Evangelion,506
106,L,Death Note,721
107,Ada Wong,Resident Evil 2,455
108,Kento Nanami,Jujutsu Kaisen,599
109,Hitori Gotou,Bocchi the Rock!,520
110,Suguru Geto,Jujutsu Kaisen,603
111,Chizuru Ichinose,"Kanojo, Okarishimasu",549
112,Tanjirou Kamado,Kimetsu no Yaiba,674
113,Guts,Berserk,656
114,Dio Brando,JoJo's Bizarre Adventure: Phantom Blood,703
115,Echidna,Re:Zero kara Hajimeru Isekai Seikatsu,557
116,Junko Enoshima,Danganronpa: Trigger Happy Havoc,528
117,Tsuyu Asui,Boku no Hero Academia,529
118,Leon S. Kennedy,Resident Evil 2,527
119,Shouko Nishimiya,Koe no Katachi,522
120,Taiga Aisaka,Toradora!,536
121,Sasha Braus,Attack on Titan,523
122,Kobeni Higashiyama,Chainsaw Man,474
123,Anya Forger,SPY×FAMILY,542
124,Ichika Nakano,5-toubun no Hanayome,493
125,Yuno Gasai,Mirai Nikki,559
126,BMO,Adventure Time,375
127,Kanao Tsuyuri,Kimetsu no Yaiba,467
128,Tsunade,Naruto,559
129,Futaba Sakura,Persona 5,500
130,Kyoko Kirigiri,Danganronpa: Trigger Happy Havoc,533
131,Lucoa,Kobayashi-san Chi no Maid Dragon,512
132,Godzilla,Godzilla,372
133,Shoto Todoroki,Boku no Hero Academia,626
134,Hu Tao,Genshin Impact,661
135,Shinobu Oshino,Monogatari,514
136,Usagi Tsukino,Pretty Soldier Sailor Moon,453
137,A2,NieR: Automata,417
138,Jotaro Kujo,JoJo's Bizarre Adventure: Stardust Crusaders,644
139,Asuka Langley Shikinami,Rebuild of Evangelion,266
140,Izuku Midoriya,Boku no Hero Academia,630
141,Hestia,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,551
142,Roxy Migurdia,Mushoku Tensei,479
143,Momo Yaoyorozu,Boku no Hero Academia,484
144,Kaori Miyazono,Shigatsu wa Kimi no Uso,474
145,Himeno,Chainsaw Man,440
146,Jeanne d'Arc,Fate/Apocrypha,443
147,Ishtar,Fate/Grand Order,462
148,Kyoujurou Rengoku,Kimetsu no Yaiba,533
149,Sasuke Uchiha,Naruto,620
150,Ai Ohto,Wonder Egg Priority,425
151,Cynthia,Pokémon Diamond/Pearl/Platinum,466
152,Aki Hayakawa,Chainsaw Man,491
153,Astolfo,Fate/Apocrypha,605
154,Giyuu Tomioka,Kimetsu no Yaiba,564
155,Tifa Lockhart,Final Fantasy VII,453
156,Madoka Kaname,Mahou Shoujo Madoka☆Magica,487
157,Orihime Inoue,BLEACH,429
158,Sung Jin-Woo,Solo Leveling,557
159,Sakura Haruno,Naruto,483
160,Jeanne d'Arc (Alter),Fate/Grand Order,390
161,Itachi Uchiha,Naruto,583
162,Trollface,🤔,234
163,Bowsette,Super Crown,457
164,Ann Takamaki,Persona 5,393
165,Raven,Teen Titans,475
166,Maomao,Kusuriya no Hitorigoto,506
167,Kasane Teto,UTAU,450
168,Mori Calliope,hololive,438
169,Sonic the Hedgehog,Sonic the Hedgehog,498
170,Kagamine Rin,VOCALOID,432
171,Marceline,Adventure Time,425
172,Ichigo Kurosaki,BLEACH,532
173,Shadow the Hedgehog,Sonic Adventure 2,453
174,Noelle Silva,Black Clover,448
175,Ghostface,Scream,270
176,Makoto Niijima,Persona 5,397
177,Alice Synthesis Thirty,Sword Art Online,398
178,Bulma,Dragon Ball,459
179,Asa Mitaka,Chainsaw Man,372
180,Portgas D. Ace,One Piece,461
181,Fern,Sousou no Frieren,426
182,Krista Lenz,Attack on Titan,395
183,Yukino Yukinoshita,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,458
184,Mewtwo,Pokédex,268
185,Hitagi Senjougahara,Monogatari,419
186,Kyouka Jirou,Boku no Hero Academia,392
187,Nanika,Hunter × Hunter,245
188,Yoru,Chainsaw Man,366
189,Homura Akemi,Mahou Shoujo Madoka☆Magica,427
190,Ruby Hoshino,【OSHI NO KO】,326
191,Ado,Utaite,394
192,Mary Saotome,Kakegurui,422
193,Yuta Okkotsu,Jujutsu Kaisen,451
194,Choso,Jujutsu Kaisen,438
195,Cha Hae-In,Solo Leveling,386
196,Spider-Man (Peter Parker),Marvel,483
197,Erina Nakiri,Shokugeki no Souma,462
198,Kakashi Hatake,Naruto,514
199,Vladilena Milizé,86 -Eighty Six-,361
200,Mina Ashido,Boku no Hero Academia,392
201,Inugami Korone,hololive,408
202,Midnight,Boku no Hero Academia,358
203,Tony Tony Chopper,One Piece,485
204,Phosphophyllite,Houseki no Kuni,332
205,Nazuna Nanakusa,Yofukashi no Uta,348
206,Kurapika,Hunter × Hunter,503
207,Jibril,No Game No Life,439
208,Android 18,Dragon Ball Z,360
209,Eris Boreas Greyrat,Mushoku Tensei,393
210,Ichigo,DARLING in the FRANXX,459
211,Vi,League of Legends,368
212,Harley Quinn (Harleen Quinzel),DC,331
213,Dante,Devil May Cry,449
214,Nejire Hadou,Boku no Hero Academia,360
215,Doge,🤔,301
216,Aigis,Persona 3,321
217,Inosuke Hashibira,Kimetsu no Yaiba,486
218,Akane Kurokawa,【OSHI NO KO】,282
219,Houshou Marine,hololive,355
220,Tanya Degurechaff,Youjo Senki,340
221,Light Yagami,Death Note,507
222,Mitsuha Miyamizu,Kimi no Na wa.,357
223,Raiden Shogun,Genshin Impact,515
224,Black Hanekawa,Monogatari,284
225,Tamaki Kotatsu,Enen no Shouboutai,416
226,Cloud Strife,Final Fantasy VII,414
227,Amelia Watson,hololive,384
228,Zenitsu Agatsuma,Kimetsu no Yaiba,476
229,Kana Arima,【OSHI NO KO】,300
230,Megurine Luka,VOCALOID,368
231,Rio Futaba,Seishun Buta Yarou,410
232,Mordred,Fate/Apocrypha,363
233,Howl,Howl's Moving Castle,446
234,Joseph Joestar,JoJo's Bizarre Adventure: Battle Tendency,488
235,Mew,Pokédex,249
236,Hoshimachi Suisei,hololive,333
237,Nao Tomori,Charlotte,401
238,Batman (Bruce Wayne),DC,446
239,No-Face,Spirited Away,207
240,Eevee,Pokédex,248
241,Gon Freecss,Hunter × Hunter,489
242,Momo Ayase,Dandadan,377
243,Orochimaru,Naruto,244
244,Koneko Toujou,High School DxD,363
245,Shizuku Murasaki,Hunter × Hunter,306
246,Armin Arlert,Attack on Titan,423
247,Nene Yashiro,Jibaku Shounen Hanako-kun,385
248,Ganyu,Genshin Impact,490
249,Perona,One Piece,335
250,Pieck Finger,Attack on Titan,339
251,Celestia Ludenberg,Danganronpa: Trigger Happy Havoc,388
252,Maka Albarn,Soul Eater,372
253,Faye Valentine,Cowboy Bebop,335
254,Yui Hirasawa,K-ON!,325
255,Yoko,Tengen Toppa Gurren Lagann,356
256,Dabi,Boku no Hero Academia,456
257,Casca,Berserk,347
258,Nanachi,Made in Abyss,310
259,Mine,Akame ga Kill!,370
260,Juvia Lockser,Fairy Tail,356
261,Kobayashi,Kobayashi-san Chi no Maid Dragon,325
262,Hana Uzaki,Uzaki-chan wa Asobitai!,325
263,Maki Oze,Enen no Shouboutai,351
264,Mt. Lady,Boku no Hero Academia,279
265,Elma,Kobayashi-san Chi no Maid Dragon,335
266,Raiden Mei,Honkai Impact 3rd,312
267,Nero,Black Clover,382
268,Elizabeth Liones,Nanatsu no Taizai,316
269,Sakura Matou,Fate/stay night,351
270,Kiana Kaslana,Honkai Impact 3rd,311
271,Kanae Kochou,Kimetsu no Yaiba,261
272,Aiz Wallenstein,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,332
273,Nelliel Tu Odelschwanck,BLEACH,296
274,Trafalgar Law,One Piece,411
275,Ibuki Mioda,Danganronpa 2: Goodbye Despair,350
276,Toph Beifong,Avatar: The Last Airbender,344
277,Eri,Boku no Hero Academia,346
278,Rangiku Matsumoto,BLEACH,306
279,Mizuki Akiyama,Project SEKAI: Colorful Stage!,311
280,Caitlyn,League of Legends,286
281,Mash Kyrielight,Fate/Grand Order,301
282,Vaporeon,Pokédex,233
283,Revy,Black Lagoon,374
284,Xenovia Quarta,High School DxD,318
285,Nagito Komaeda,Danganronpa 2: Goodbye Despair,430
286,Furina,Genshin Impact,427
287,Shouyou Hinata,Haikyuu!!,434
288,Booette,Super Crown,340
289,Wiz,Kono Subarashii Sekai ni Shukufuku wo!,361
290,Ymir,Attack on Titan,290
291,Edward Elric,Fullmetal Alchemist,414
292,Kasumi Miwa,Jujutsu Kaisen,268
293,Spider-Gwen (Gwen Stacy),Marvel,254
294,Nero Claudius,Fate/EXTRA,304
295,Alice Nakiri,Shokugeki no Souma,347
296,Sylveon,Pokédex,207
297,Toge Inumaki,Jujutsu Kaisen,386
284,Rebecca,Cyberpunk: Edgerunners,327
299,Uta,One Piece Film: Red,261
300,Aerith Gainsborough,Final Fantasy VII,270
301,Chuuya Nakahara,Bungou Stray Dogs,406
302,Shinoa Hiiragi,Owari no Seraph,351
303,Mio Akiyama,K-ON!,301
304,Akaza,Kimetsu no Yaiba,353
305,Starfire,Teen Titans,306
306,Loki (Loki Laufeyson),Marvel,257
307,Rize Kamishiro,Tokyo Ghoul,267
308,Vegeta,Dragon Ball Z,454
309,Chitoge Kirisaki,Nisekoi,319
310,Wojak,🤔,167
311,Hawks,Boku no Hero Academia,396
312,Daki,Kimetsu no Yaiba,275
313,Princess Peach,Super Mario Bros.,279
314,Shalltear Bloodfallen,Overlord,326
315,Tengen Uzui,Kimetsu no Yaiba,378
316,Gunter,Adventure Time,183
317,Beatrice (RZ),Re:Zero kara Hajimeru Isekai Seikatsu,316
318,Arataka Reigen,Mob Psycho 100,363
319,TBH Creature,🤔,134
320,Leone,Akame ga Kill!,301
321,Stocking Anarchy,Panty & Stocking with Garterbelt,319
322,Hanako-kun,Jibaku Shounen Hanako-kun,409
323,Mirai Kuriyama,Kyoukai no Kanata,292
324,Destiny,{ tákt op. },261
325,Kirari Momobami,Kakegurui,279
326,Foo Fighters,JoJo's Bizarre Adventure: Stone Ocean,226
327,Kaoruko Waguri,Kaoru Hana wa Rin to Saku,300
328,Senko,Sewayaki Kitsune no Senko-san,330
329,Alluka Zoldyck,Hunter × Hunter,265
330,Shikimori-san,Kawaii dake ja Nai Shikimori-san,284
331,Holo,Ookami to Koushinryou,317
332,Mei Misaki,Another,267
333,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,397
334,Nana Osaki,Nana,301
335,Nefertari Vivi,One Piece,252
336,Usada Pekora,hololive,318
337,Ellie,The Last of Us Part I,287
338,Rayquaza,Pokédex,212
339,Ereshkigal,Fate/Grand Order,281
340,Crewmate,Among Us,335
341,Mei Hatsume,Boku no Hero Academia,247
342,Osana Najimi,"Komi-san wa, Comyushou desu.",213
343,Schwi Dola,No Game No Life,273
344,Ryou Yamada,Bocchi the Rock!,268
345,Mahoraga,Jujutsu Kaisen,167
346,Shigeo Kageyama,Mob Psycho 100,384
347,Shirakami Fubuki,hololive,299
348,Usopp,One Piece,359
349,Rider,Fate/stay night,288
350,Ruka Sarashina,"Kanojo, Okarishimasu",302
351,Yunyun,Kono Subarashii Sekai ni Shukufuku wo!,307
352,Eru Chitanda,Hyouka,305
353,Chelsea,Akame ga Kill!,260
354,Winry Rockbell,Fullmetal Alchemist,331
355,Mashiro Shiina,Sakurasou no Pet na Kanojo,319
356,Hello Kitty,Hello Kitty,277
357,Mikan Tsumiki,Danganronpa 2: Goodbye Despair,294
358,Nekomata Okayu,hololive,290
359,Ino Yamanaka,Naruto,249
360,Mei Mei,Jujutsu Kaisen,246
361,Giorno Giovanna,JoJo's Bizarre Adventure: Golden Wind,389
362,Quanxi,Chainsaw Man,273
363,Elaina,Majo no Tabitabi,299
364,Krul Tepes,Owari no Seraph,308
365,Neco-Arc,Tsukihime,233
366,Alisa Mikhailovna Kujou,Tokidoki Bosotto Roshia-go de Dereru Tonari no Alya-san,267
367,Saitama,One Punch Man,410
368,Nico Yazawa,Love Live! School idol project,285
369,All Might,Boku no Hero Academia,350
370,Ninomae Ina'nis,hololive,290
371,Asta,Black Clover,403
372,Sumi Sakurasawa,"Kanojo, Okarishimasu",299
373,Star Platinum,JoJo's Bizarre Adventure: Stardust Crusaders,154
374,Ilulu,Kobayashi-san Chi no Maid Dragon,252
375,Arceus,Pokédex,178
376,Xiao,Genshin Impact,411
377,Monika,Doki Doki Literature Club!,377
378,Diane,Nanatsu no Taizai,282
379,Yae Miko,Genshin Impact,387
380,Sylphiette,Mushoku Tensei,277
381,Shanks,One Piece,344
382,Tohka Yatogami,Date A Live,294
383,Kuromi,My Melody,278
384,Azula,Avatar: The Last Airbender,306
385,Muichirou Tokitou,Kimetsu no Yaiba,332
386,Evangelion Unit-01,Neon Genesis Evangelion,154
387,Saiki Kusuo,Saiki Kusuo no Ψ Nan,365
388,Ririka Momobami,Kakegurui,239
389,Kiryu Coco,hololive,265
390,Emma,Yakusoku no Neverland,328
391,Umaru Doma,Himouto! Umaru-chan,257
392,Sebastian Michaelis,Black Butler,346
393,Eijirou Kirishima,Boku no Hero Academia,345
394,Josuke Higashikata,JoJo's Bizarre Adventure: Diamond Is Unbreakable,356
395,Gudetama,Gudetama,171
396,Miia,Monster Musume no Iru Nichijou,275
397,Brook,One Piece,332
398,Yuuki,Sword Art Online,252
399,GUMI,VOCALOID,298
400,Kagamine Len,VOCALOID,330
401,Satella,Re:Zero kara Hajimeru Isekai Seikatsu,222
402,Hibana,Enen no Shouboutai,264
403,Kirito,Sword Art Online,395
404,Fushi,Fumetsu no Anata e,233
405,Sephiroth,Final Fantasy VII,302
406,Eto,Tokyo Ghoul,277
407,Tobio Kageyama,Haikyuu!!,367
408,Iris,Enen no Shouboutai,258
409,Haru Okumura,Persona 5,244
410,Hisoka,Hunter × Hunter,372
390,Kim Dokja,Omniscient Reader's Viewpoint,350
412,Temari,Naruto,250
413,The Knight,Hollow Knight,246
414,Konan,Naruto,251
415,Atsuko Kagari,Little Witch Academia,252
416,Leafa,Sword Art Online,263
417,Ikuyo Kita,Bocchi the Rock!,223
418,Zhongli,Genshin Impact,391
419,Deadpool (Wade Wilson),Marvel,305
420,Mangle,Five Nights at Freddy's 2,179
421,Satsuki Kiryuuin,Kill la Kill,240
422,Suzune Horikita,Classroom of the Elite,279
423,Kenma Kozume,Haikyuu!!,351
424,Kushina Uzumaki,Naruto,213
425,Tsukasa Yuzaki,Tonikaku Kawaii,268
426,Shouta Aizawa,Boku no Hero Academia,333
427,Princess Bubblegum,Adventure Time,225
428,Riza Hawkeye,Fullmetal Alchemist,255
429,Pikachu (Species),Pokédex,124
430,Mikoto Misaka,Toaru,279
431,Katara,Avatar: The Last Airbender,267
432,Goro Akechi,Persona 5,298
433,Mirajane Strauss,Fairy Tail,265
434,Aang,Avatar: The Last Airbender,272
435,Azusa Nakano,K-ON!,231
436,Loid Forger,SPY×FAMILY,326
437,Mayuri Shiina,Steins;Gate,254
438,Stella Vermillion,Rakudai Kishi no Cavalry,267
439,Snorlax,Pokédex,161
440,Arlecchino,Genshin Impact,321
441,Kenjaku,Jujutsu Kaisen,121
442,Asia Argento,High School DxD,244
443,Grell Sutcliff,Black Butler,266
444,Pochita,Chainsaw Man,317
445,Tsumugi Kotobuki,K-ON!,235
446,Madara Uchiha,Naruto,336
447,Spider-Man (Miles Morales),Marvel,261
448,Korra,The Legend of Korra,248
449,Konata Izumi,Lucky☆Star,215
450,Angel Devil,Chainsaw Man,285
451,Blair,Soul Eater,228
452,Merlin,Nanatsu no Taizai,272
453,Alucard,Castlevania III: Dracula's Curse,267
454,Tsubasa Hanekawa,Monogatari,264
455,Illyasviel von Einzbern,Fate/stay night,235
456,Utahime Iori,Jujutsu Kaisen,189
457,Kanade Tachibana,Angel Beats!,264
458,Wise Mystical Tree,🤔,108
459,Mimikyu,Pokédex,161
460,Chisato Nishikigi,Lycoris Recoil,235
461,Tamayo,Kimetsu no Yaiba,203
462,Obanai Igurou,Kimetsu no Yaiba,288
463,Tooru Oikawa,Haikyuu!!,327
464,Milim Nava,Tensei shitara Slime Datta Ken,280
465,Kaede Azusagawa,Seishun Buta Yarou,239
466,Minato Aqua,hololive,235
467,Kirara Hoshi,Jujutsu Kaisen,134
468,Takanashi Kiara,hololive,228
469,Izumi Miyamura,Hori-san to Miyamura-kun,331
470,Mai Zenin,Jujutsu Kaisen,188
471,Yuki Tsukumo,Jujutsu Kaisen,193
472,Tomura Shigaraki,Boku no Hero Academia,284
473,Amy Rose,Sonic CD,202
474,Zuko,Avatar: The Last Airbender,322
475,Kafka,Honkai: Star Rail,334
476,Miko Iino,Kaguya-sama wa Kokurasetai,235
477,Jill Valentine,Resident Evil 1,232
478,Umbreon,Pokédex,174
479,Tartaglia,Genshin Impact,351
480,Lain Iwakura,Serial Experiments Lain,262
481,Carrot,One Piece,225
482,Lofi Girl,Lofi Girl,153
483,Jessie,Pokémon: Indigo League,199
484,Kuroka,High School DxD,214
485,Yui Yuigahama,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,273
486,Spike Spiegel,Cowboy Bebop,290
487,Dawn,Pokémon Diamond/Pearl/Platinum,246
488,Envy,Fullmetal Alchemist,194
489,Rory Mercury,GATE,234
490,Venti,Genshin Impact,353
491,Lucy (EL),Elfen Lied,271
492,Shuna,Tensei shitara Slime Datta Ken,247
493,Rimuru Tempest,Tensei shitara Slime Datta Ken,352
494,Makoto Yuki,Persona 3,263
495,Nightwing (Dick Grayson),DC,264
496,Shoko Ieiri,Jujutsu Kaisen,190
497,Aoi Todo,Jujutsu Kaisen,260
498,Ouro Kronii,hololive,219
499,Uruha Rushia,hololive,239
500,Ruka Urushibara,Steins;Gate,184
501,Kiyoko Shimizu,Haikyuu!!,234
502,Gyro Zeppeli,JoJo's Bizarre Adventure: Steel Ball Run,303
503,Shinji Ikari,Neon Genesis Evangelion,292
504,Anna Nishikinomiya,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,194
505,Midari Ikishima,Kakegurui,207
506,Nayuta,Chainsaw Man,176
507,Runa Yomozuki,Kakegurui,208
508,Tae Takemi,Persona 5,211
509,Bon Clay,One Piece,176
510,Charmander,Pokédex,172
511,Akiko Yosano,Bungou Stray Dogs,221
512,Yato,Noragami,337
513,Mitsuki Bakugou,Boku no Hero Academia,174
514,Fuyumi Todoroki,Boku no Hero Academia,168
515,Alucard (Hellsing),Hellsing,295
516,Kei Shirogane,Kaguya-sama wa Kokurasetai,216
517,Meme,ME!ME!ME!,203
518,Filo,Tate no Yuusha no Nariagari,263
519,Meowy,Chainsaw Man,155
520,Wanderer,Genshin Impact,316
521,Diamond,Houseki no Kuni,191
522,Franky,One Piece,275
523,Yae Sakura,Honkai Impact 3rd,211
524,Jonathan Joestar,JoJo's Bizarre Adventure: Phantom Blood,311
525,Johnny Joestar,JoJo's Bizarre Adventure: Steel Ball Run,299
526,Lisa Lisa,JoJo's Bizarre Adventure: Battle Tendency,240
527,Serena,Pokémon X/Y,229
528,Siesta,The Detective Is Already Dead,233
529,Mimosa Vermillion,Black Clover,217
530,Sheele,Akame ga Kill!,196
531,Nakiri Ayame,hololive,223
532,Mahito,Jujutsu Kaisen,259
533,KAITO,VOCALOID,279
534,Senkuu Ishigami,Dr. STONE,299
535,Chrollo Lucilfer,Hunter × Hunter,293
536,707,Mystic Messenger,305
537,Erwin Smith,Attack on Titan,268
538,Shion (TenSura),Tensei shitara Slime Datta Ken,210
539,9S,NieR: Automata,232
540,Camie Utsushimi,Boku no Hero Academia,184
541,Touko Fukawa,Danganronpa: Trigger Happy Havoc,212
542,Delta,Kage no Jitsuryokusha ni Naritakute!,247
543,Ranpo Edogawa,Bungou Stray Dogs,295
544,Irina Shidou,High School DxD,193
545,Peko Pekoyama,Danganronpa 2: Goodbye Despair,215
546,Kei Tsukishima,Haikyuu!!,287
547,Aoi Kanzaki,Kimetsu no Yaiba,150
548,Mami Tomoe,Mahou Shoujo Madoka☆Magica,241
549,Sanemi Shinazugawa,Kimetsu no Yaiba,247
550,Ruby Rose,RWBY,265
551,Yue,Arifureta Shokugyou de Sekai Saikyou,240
552,Ahri,League of Legends,296
553,Lady Nagant,Boku no Hero Academia,200
554,Misty,Pokémon Red/Green/Blue/Yellow,209
555,Soi Fon,BLEACH,204
556,My Melody,My Melody,220
557,Hiyori Iki,Noragami,236
558,Griffith,Berserk,275
559,Bishamon,Noragami,239
560,Sagiri Izumi,Eromanga-sensei,218
561,Eula,Genshin Impact,307
562,Rouge the Bat,Sonic Adventure 2,195
563,Ban,Nanatsu no Taizai,308
564,Chihiro Ogino,Spirited Away,192
565,Makio,Kimetsu no Yaiba,158
566,Aoi Asahina,Danganronpa: Trigger Happy Havoc,212
567,Bronya Zaychik,Honkai Impact 3rd,187
568,Suma,Kimetsu no Yaiba,155
569,Naoto Shirogane,Persona 4,223
570,Tooru Honda,Fruits Basket,231
571,Tier Harribel,BLEACH,202
572,Chiikawa,Chiikawa,150
573,Ceres Fauna,hololive,200
574,Shrek,Shrek,300
575,Funtime Foxy,Five Nights at Freddy's: Sister Location,129
576,Uraume,Jujutsu Kaisen,108
577,Natsu Dragneel,Fairy Tail,301
578,Ritsu Tainaka,K-ON!,192
579,Takagi-san,Karakai Jouzu no Takagi-san,213
580,Vanessa Enoteca,Black Clover,187
581,Kohaku,Dr. STONE,220
582,Saeko Busujima,Highschool of the Dead,212
583,Rei Hino,Pretty Soldier Sailor Moon,208
584,Manjirou Sano,Tokyo卍Revengers,304
585,Yona,Akatsuki no Yona,257
586,MEM-Cho,【OSHI NO KO】,155
587,Giratina,Pokédex,163
588,Miles Edgeworth,Phoenix Wright: Ace Attorney,240
589,Panty Anarchy,Panty & Stocking with Garterbelt,225
590,Nana Shimura,Boku no Hero Academia,162
591,Mitsuru Kirijo,Persona 3,199
592,Reimu Hakurei,Touhou Koumakyou ~ the Embodiment of Scarlet Devil,230
593,Seele Vollerei,Honkai Impact 3rd,196
594,Minako Aino,Pretty Soldier Sailor Moon,173
595,Mari Setagaya,Itadaki! Seieki♡,233
596,Dark Magician Girl,Yu-Gi-Oh! Trading Card Game,195
597,Nijika Ijichi,Bocchi the Rock!,189
598,Nadeko Sengoku,Monogatari,207
599,Gwen,Total Drama Island,207
600,Phoenix Wright,Phoenix Wright: Ace Attorney,235
601,Blackfire,Teen Titans,161
602,Machi Komachine,Hunter × Hunter,185
603,N,Pokémon Black/White,281
604,Earth-chan,Gijinka Series,202
605,Diluc,Genshin Impact,316
606,Denki Kaminari,Boku no Hero Academia,278
590,Han Sooyoung,Omniscient Reader's Viewpoint,222
608,Creeper,Minecraft,196
609,Yuu Nishinoya,Haikyuu!!,279
610,Vanilla,Nekopara,227
611,Tomoko Kuroki,Watashi ga Motenai no wa dō Kangaetemo Omaera ga Warui!,200
612,Ray (AoD),Angels of Death,202
613,Kallen Stadtfeld,Code Geass: Hangyaku no Lelouch,206
614,Gaara,Naruto,273
615,Shego,Kim Possible,188
616,Amber,Genshin Impact,269
617,Akane Owari,Danganronpa 2: Goodbye Despair,174
618,Chi-Chi,Dragon Ball,163
